pseudo_bulk	cluster	annotation
I38_Carp_S19	0	myeloid
I44_Carp_S19	0	myeloid
I46_Carp_S19	0	myeloid
I50_Carp_S19	0	myeloid
I52_Carp_S19	0	myeloid
I64_Carp_S19	0	myeloid
I6_Carp_S19	4	epithelial_malignant
I73_Carp_S19	0	myeloid
I76_Carp_S19	0	myeloid
I83_Carp_S19	0	myeloid
I90_Carp_S19	0	myeloid
I94_Carp_S19	0	myeloid
I102_Carp_S20	1	epithelial
I1_Carp_S20	0	myeloid
I21_Carp_S20	1	epithelial
I26_Carp_S20	1	epithelial
I27_Carp_S20	1	epithelial
I29_Carp_S20	1	epithelial
I30_Carp_S20	1	epithelial
I31_Carp_S20	1	epithelial
I36_Carp_S20	1	epithelial
I41_Carp_S20	1	epithelial
I47_Carp_S20	1	epithelial
I53_Carp_S20	1	epithelial
C15_Carp_S21	2	myeloid
C16_Carp_S21	2	myeloid
C27_Carp_S21	0	myeloid
C45_Carp_S21	3	lymphoid
C76_Carp_S21	2	myeloid
C83_Carp_S21	2	myeloid
I12_Carp_S21	0	myeloid
I15_Carp_S21	3	lymphoid
I17_Carp_S21	0	myeloid
I18_Carp_S21	0	myeloid
I23_Carp_S21	4	epithelial_malignant
I24_Carp_S21	2	myeloid
I25_Carp_S21	3	lymphoid
I28_Carp_S21	5	fibroblast
I31_Carp_S21	4	epithelial_malignant
I41_Carp_S21	3	lymphoid
I42_Carp_S21	4	epithelial_malignant
I71_Carp_S21	5	fibroblast
I83_Carp_S21	0	myeloid
C10_Carp_S22	0	myeloid
C12_Carp_S22	5	fibroblast
C16_Carp_S22	0	myeloid
C18_Carp_S22	4	epithelial_malignant
C21_Carp_S22	0	myeloid
C24_Carp_S22	4	epithelial_malignant
C26_Carp_S22	0	myeloid
C29_Carp_S22	4	epithelial_malignant
C30_Carp_S22	4	epithelial_malignant
C32_Carp_S22	4	epithelial_malignant
C36_Carp_S22	4	epithelial_malignant
C38_Carp_S22	4	epithelial_malignant
C39_Carp_S22	0	myeloid
C40_Carp_S22	4	epithelial_malignant
C41_Carp_S22	5	fibroblast
C42_Carp_S22	2	myeloid
C44_Carp_S22	4	epithelial_malignant
C45_Carp_S22	4	epithelial_malignant
C46_Carp_S22	4	epithelial_malignant
C47_Carp_S22	4	epithelial_malignant
C48_Carp_S22	4	epithelial_malignant
C49_Carp_S22	4	epithelial_malignant
C4_Carp_S22	3	lymphoid
C51_Carp_S22	6	endothelial
C53_Carp_S22	0	myeloid
C57_Carp_S22	0	myeloid
C58_Carp_S22	4	epithelial_malignant
C5_Carp_S22	4	epithelial_malignant
C60_Carp_S22	4	epithelial_malignant
C62_Carp_S22	4	epithelial_malignant
